id,RegisteredName,Registered Email,RegisteredMobile,State,City,Status,registrationfee,RegisteredCampus,School,College,Country,Gender,AssignToCounsellor,AdmissionCategory,IntermediateMarks,Department
241001,Amit Sharma,amitsharma@example.com,9169069505,Maharashtra,Mumbai,Pending,not paid,Vizianagaram campus,vishwa bharathi public school ,Vignan college,India,Male,Kishore,EAPCET,95.6,ECE
241002,Priya Patel,priyapatel@example.com,9686200771,Gujarat,Ahmedabad,Accepted,Paid,Vizianagaram campus,geethanjali Public School,Narayana college,India,Female,Sreekar,EAPCET,85.6,CSE
241003,Rahul Singh,rahulsingh@example.com,9349502251,Uttar Pradesh,Lucknow,Declined,Paid,PKD campus,Vignan Public School,sri chaitanya college,India,Male,Kishore,EAPCET,65,MECH
241004,Anjali Gupta,anjaligupta@example.com,9554534159,Rajasthan,Jaipur,Accepted,Paid,Vizianagaram campus,kendriya Public School, Surya college,India,Female,Kishore,EAPCET,75,CSE
241005,Ravi Kumar,ravikumar@example.com,9297949335,Delhi,Delhi,Accepted,not paid,Bhuvaneshwar campus,Bhasyam Public School,st.Anna's college,India,Male,Sreekar,EAPCET,95.3,ECE
241006,Sneha Mishra,snehamishra@example.com,9743411217,Karnataka,Bangalore,Accepted,not paid,Bhuvaneshwar campus,Narayana Public School,kendriaya college,India,Female,Sreekar,Management Quota,58.3,MECH
241007,Manish Singh,manishsingh@example.com,9804689338,Madhya Pradesh,Indore,Pending,Paid,Bhuvaneshwar campus,TBR Public School,govt. jr college,India,Male,Praveen,Management Quota,65,CSE
241008,Pooja Sharma,poojasharma@example.com,9911125342,Maharashtra,Pune,Pending,Paid,PKD campus,Chaitanya Public School,Model college,India,Female,Kishore,Management Quota,85,CSE
241009,Vikas Verma,vikasverma@example.com,9269003669,Tamil Nadu,Chennai,Accepted,Paid,Vizianagaram campus,Gokul Public School,Gokul college,India,Male,Praveen,Management Quota,12,CSE
241010,Neha Singh,nehasingh@example.com,9394191391,Uttar Pradesh,Allahabad,Pending,not paid,Vizianagaram campus,CenturionPublic School,bharathi college,India,Female,Sreekar,Management Quota,78,MECH
241011,Karan Gupta,karangupta@example.com,9207241476,Punjab,Chandigarh,Pending,not paid,PKD campus,laksya Public School,Sri devi coolege,India,Male,Sreekar,EAPCET,89,CSE
241012,Shreya Patel,shreyapatel@example.com,9265075766,Gujarat,Surat,Accepted,Paid,PKD campus,Model Public School,AVK juniour college,India,Female,Kishore,EAPCET,56.3,CSE
241013,Arun Kumar,arunkumar@example.com,9675029365,Andhra Pradesh,Hyderabad,Declined,Paid,PKD campus,Ideal Public School,Vasavi college,India,Male,Kishore,EAPCET,75,ECE
241014,Sakshi Singh,sakshisingh@example.com,9396560057,West Bengal,Kolkata,Accepted,Paid,Bhuvaneshwar campus,vizag Public School,pragathi college,India,Female,Praveen,Management Quota,58,ECE
241015,Rahul Sharma,rahulsharma@example.com,9462101933,Maharashtra,Nagpur,Pending,Paid,Vizianagaram campus,Neora Public School,Adithya college,India,Male,Sreekar,Management Quota,65,MECH
241016,Nisha Patel,nishapatel@example.com,9807786697,Gujarat,Vadodara,Declined,not paid,PKD campus,christain Public School,Saraswathi juniour college,India,Female,Praveen,Management Quota,95,ECE
241017,Sanjay Gupta,sanjaygupta@example.com,9507273483,Uttar Pradesh,Kanpur,Declined,Paid,Bhuvaneshwar campus,Sunflower Public School,Narayana college,India,Male,Kishore,Management Quota,85,CSE
241018,Ananya Singh,ananyasingh@example.com,9484447046,Rajasthan,Udaipur,Pending,Paid,Vizianagaram campus,NeoraPublic School,Vignan college,India,Female,Praveen,Management Quota,89,CSE
241019,Rajesh Verma,rajeshverma@example.com,9315972809,Delhi,New Delhi,Pending,Paid,Vizianagaram campus,Vignan Public School,sri chaitanya college,India,Male,Praveen,Management Quota,87,MECH
241020,Deepika Sharma,deepikasharma@example.com,9232527670,Haryana,Gurgaon,Pending,not paid,Bhuvaneshwar campus,Millennium Public School,Gokul college,India,Female,Sreekar,Management Quota,78.5,MECH
241021,Rajat Patel,rajatpatel@example.com,9132197733,Gujarat,Rajkot,Pending,Paid,Vizianagaram campus,Vishwa Public School,Pragathi college,India,Male,Kishore,Management Quota,92.4,CSE
241022,Kritika Singh,kritikasingh@example.com,9346142549,Bihar,Patna,Accepted,Paid,PKD campus,Sunshine Public School,Sri devi college,India,Female,Praveen,EAPCET,82.7,MECH
241023,Aryan Verma,aryanverma@example.com,9304279195,Uttar Pradesh,Varanasi,Pending,not paid,Vizianagaram campus,Geetanjali Public School,Narayana college,India,Male,Kishore,Management Quota,75.8,CSE
241024,Neha Gupta,nehagupta@example.com,9975228493,Madhya Pradesh,Bhopal,Accepted,Paid,Bhuvaneshwar campus,Sunrise Public School,AVK junior college,India,Female,Sreekar,EAPCET,67.2,ECE
241025,Mohit Kumar,mohitkumar@example.com,9815354595,Rajasthan,Jodhpur,Declined,Paid,Vizianagaram campus,Central Public School,Vignan college,India,Male,Praveen,Management Quota,88.3,ECE
241026,Kavya Sharma,kavyasharma@example.com,9816032806,Punjab,Ludhiana,Pending,not paid,Bhuvaneshwar campus,Bluebell Public School,Pragathi college,India,Female,Kishore,EAPCET,74.6,CSE
241027,Rohan Singh,rohansingh@example.com,9652159406,Maharashtra,Nashik,Accepted,Paid,Vizianagaram campus,Saraswathi Public School,Vasavi college,India,Male,Sreekar,Management Quota,81.9,CSE
