id,Registered Name,Registered Email,Registered Mobile,State,City,Status,Registration Fee,Registered Campus,School,College,Country,Gender,Assign to Counsellor,Admission Category,Intermediate Marks,Department
242001,Priya Sharma,priyasharma@example.com,9333332057,Maharashtra,Nagpur,Pending,not paid,PKD campus,School of Paramedics & Allied Health Science,Hislop College,India,Female,Kishore,Management Quota,92.1,Radiology
242002,Siddharth Gupta,siddharthgupta@example.com,9190986594,Uttar Pradesh,Lucknow,Accepted,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,Amity University,India,Male,Praveen,Management Quota,85.4,Forensic science
242003,Neha Sharma,nehasharma@example.com,9627314623,Punjab,Ludhiana,Rejected,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Punjab University,India,Female,Sreekar,Management Quota,78.9,Radiology
242004,Rohan Patel,rohanpatel@example.com,9436961088,Gujarat,Surat,Pending,not paid,PKD campus,School of Paramedics & Allied Health Science,SVNIT,India,Male,Kishore,Management Quota,83.7,Optometry
242005,Pooja Verma,poojaverma@example.com,9759134719,Rajasthan,Jaipur,Rejected,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,Manipal University,India,Female,Praveen,Management Quota,75.2,Forensic science
242006,Amit Kumar,amitkumar@example.com,9348993117,Bihar,Patna,Accepted,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,NIT Patna,India,Male,Sreekar,Management Quota,79.5,Optometry
242007,Ritu Singh,ritusingh@example.com,9540729520,Uttar Pradesh,Allahabad,Pending,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,IIIT Allahabad,India,Female,Kishore,Management Quota,88.3,Anathesia
242008,Varun Sharma,varunsharma@example.com,9219166470,Haryana,Faridabad,Rejected,not paid,PKD campus,School of Paramedics & Allied Health Science,YMCA University,India,Male,Praveen,Management Quota,82.6,Anathesia
242009,Sneha Gupta,snehagupta@example.com,9845317343,Maharashtra,Pune,Pending,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Symbiosis Pune,India,Female,Kishore,Management Quota,90.1,Anathesia
242010,Akash Singh,akashsingh@example.com,9154970690,Uttar Pradesh,Varanasi,Accepted,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,BHU,India,Male,Sreekar,Management Quota,85.7,Forensic science
242011,Nidhi Sharma,nidhisharma@example.com,9777021135,Gujarat,Ahmedabad,Rejected,Paid,PKD campus,School of Paramedics & Allied Health Science,Nirma University,India,Female,Praveen,Management Quota,77.8,Anathesia
242012,Manish Verma,manishverma@example.com,9688367506,Rajasthan,Udaipur,Accepted,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,IIM Udaipur,India,Male,Kishore,Management Quota,81.4,Forensic science
242013,Suman Patel,sumanpatel@example.com,9375118695,Madhya Pradesh,Indore,Pending,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,IIT Indore,India,Female,Sreekar,Management Quota,87.2,Forensic science
242014,Arjun Sharma,arjunsharma@example.com,9121143034,Punjab,Amritsar,Rejected,Paid,PKD campus,School of Paramedics & Allied Health Science,GNDU,India,Male,Praveen,Management Quota,79.3,Radiology
242015,Kavita Singh,kavitasingh@example.com,9645546711,Uttar Pradesh,Ghaziabad,Accepted,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,AKGEC,India,Female,Kishore,Management Quota,88.6,Forensic science
242016,Rahul Verma,rahulverma@example.com,9266283611,Bihar,Gaya,Pending,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,Magadh University,India,Male,Sreekar,Management Quota,84.9,Anathesia
242017,Shweta Gupta,shwetagupta@example.com,9318618023,Gujarat,Rajkot,Rejected,not paid,PKD campus,School of Paramedics & Allied Health Science,Saurashtra University,India,Female,Praveen,Management Quota,76.4,Forensic science
242018,Rohit Kumar,rohitkumar@example.com,9469427037,Bihar,Bhagalpur,Accepted,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,TMBU,India,Male,Kishore,Management Quota,82.3,Optometry
242019,Smita Sharma,smitasharma@example.com,9360807415,Maharashtra,Mumbai,Pending,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Narsee Monjee,India,Female,Sreekar,Management Quota,89.7,Radiology
242020,Aditya Patel,adityapatel@example.com,9554171037,Gujarat,Vadodara,Rejected,Paid,PKD campus,School of Paramedics & Allied Health Science,MSU Baroda,India,Male,Praveen,Management Quota,78.2,Radiology
242021,Priyanka Singh,priyankasingh@example.com,9969863476,Uttar Pradesh,Kanpur,Accepted,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,IIT Kanpur,India,Female,Kishore,Management Quota,86.5,Radiology
242022,Ankit Verma,ankitverma@example.com,9194229471,Uttar Pradesh,Lucknow,Accepted,Paid,PKD campus,School of Paramedics & Allied Health Science,IIM Lucknow,India,Male,Praveen,Management Quota,88.4,Radiology
242023,Poonam Gupta,poonamgupta@example.com,9726294491,Punjab,Ludhiana,Rejected,not paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Punjab Agricultural Uni,India,Female,Sreekar,Management Quota,79.1,Optometry
242024,Prashant Singh,prashantsingh@example.com,9282418314,Bihar,Patna,Pending,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,NIT Patna,India,Male,Kishore,Management Quota,85.6,Forensic science
242025,Shreya Verma,shreyaverma@example.com,9880310547,Gujarat,Ahmedabad,Rejected,Paid,PKD campus,School of Paramedics & Allied Health Science,CEPT University,India,Female,Praveen,Management Quota,76.8,Radiology
242026,Vishal Patel,vishalpatel@example.com,9661927500,Maharashtra,Pune,Accepted,not paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Fergusson College,India,Male,Sreekar,Management Quota,83.9,Anathesia
242027,Meenakshi Sharma,meenakshisharma@example.com,9191134602,Rajasthan,Jaipur,Pending,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,LNMIIT Jaipur,India,Female,Kishore,Management Quota,89.3,Optometry
242028,Ravi Singh,ravsingh@example.com,9129263840,Uttar Pradesh,Agra,Rejected,Paid,PKD campus,School of Paramedics & Allied Health Science,Agra University,India,Male,Praveen,Management Quota,77.2,Optometry
242029,Tanvi Gupta,tanvigupta@example.com,9740567592,Gujarat,Surat,Accepted,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,SVNIT,India,Female,Sreekar,Management Quota,86.7,Anathesia
242030,Anil Kumar,anilkumar@example.com,9913154396,Bihar,Gaya,Pending,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,Magadh University,India,Male,Kishore,Management Quota,82.4,Radiology
242031,Kavita Sharma,kavitasharma@example.com,9854992800,Maharashtra,Mumbai,Rejected,not paid,PKD campus,School of Paramedics & Allied Health Science,NMIMS,India,Female,Praveen,Management Quota,75.6,Optometry
242032,Abhishek Verma,abhishekverma@example.com,9421093595,Rajasthan,Jodhpur,Accepted,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,IIT Jodhpur,India,Male,Sreekar,Management Quota,89.2,Anathesia
242033,Riya Singh,riyasingh@example.com,9377470220,Uttar Pradesh,Kanpur,Pending,Paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,IIT Kanpur,India,Female,Kishore,Management Quota,87.9,Radiology
242034,Prakash Patel,prakashpatel@example.com,9814097394,Gujarat,Vadodara,Rejected,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,MSU Baroda,India,Male,Praveen,Management Quota,78.3,Forensic science
242035,Sakshi Sharma,sakshisharma@example.com,9627544198,Maharashtra,Pune,Accepted,not paid,PKD campus,School of Paramedics & Allied Health Science,Symbiosis Pune,India,Female,Sreekar,Management Quota,84.7,Anathesia
242036,Sanjay Kumar,sanjaykumar@example.com,9259254473,Bihar,Muzaffarpur,Pending,not paid,Vizianagaram campus,School of Paramedics & Allied Health Science,B. R. Ambedkar Bihar,India,Male,Kishore,Management Quota,83.1,Anathesia
242037,Preeti Verma,preetiverma@example.com,9220229842,Uttar Pradesh,Ghaziabad,Rejected,not paid,Bhuvaneshwar campus,School of Paramedics & Allied Health Science,AKGEC,India,Female,Praveen,Management Quota,79.8,Anathesia
242038,Aditya Singh,adityasingh@example.com,9603222726,Madhya Pradesh,Indore,Accepted,Paid,Vizianagaram campus,School of Paramedics & Allied Health Science,IIM Indore,India,Male,Sreekar,Management Quota,88.6,Radiology
